2024–25 ESTIMATES,,,,,,,,,,,,,,
Budgetary Expenditures by Standard Object,,,,,,,,,,,,,,
"This table shows the forecast of total expenditures by Standard Object, which includes the types of goods or services to be acquired, or the transfer payments to be made and the revenues to be credited to the vote.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Definitions of standard objects available at: http://www.tpsgc-pwgsc.gc.ca/recgen/pceaf-gwcoa/2425/7-eng.html,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Interest payments relating to capital leases are included under ""Public debt charges"". These payments are voted expenditures and are not included under the ""Public Debt"" heading on the Composition of Estimates and Expenditures table.",,,,,,,,,,,,,,
Table 1. Budgetary Expenditures by Standard Object,,,,,,,,,,,,,,
Organization,Personnel,Transportation and communications,Information,Professional and special services,Rentals,Purchased repair and maintenance,"Utilities, materials and supplies","Acquisition of land, buildings and works",Acquisition of machinery and equipment,Transfer payments,Public debt charges,Other subsidies and payments,Less: Revenues and other reductions,Total
,1,2,3,4,5,6,7,8,9,10,11,12,,
Administrative Tribunals Support Service of Canada,"99,060,877","1,676,779","1,289,072","10,039,729","4,794,920","930,386","425,882",0,"725,924",0,0,"12,412","38,297,068","80,658,913"
Atlantic Canada Opportunities Agency,"70,570,137","1,399,495","541,563","2,688,129","1,711,306","96,333","218,806",0,"691,875","306,694,872",0,"1,030,837",0,"385,643,353"
Atomic Energy of Canada Limited,0,0,0,0,0,0,0,0,0,0,0,"1,591,309,916",0,"1,591,309,916"
Canada Border Services Agency,"1,773,212,454","77,717,232","3,085,178","502,065,427","16,900,718","54,600,401","32,943,120","71,021,107","108,303,890",0,0,"33,786,835","24,030,000","2,649,606,362"
Canada Council for the Arts,0,0,0,0,0,0,0,0,0,0,0,"363,758,160",0,"363,758,160"
Canada Mortgage and Housing Corporation,0,0,0,0,0,0,0,0,0,0,0,"5,627,708,332",0,"5,627,708,332"
Canada Post Corporation,0,0,0,0,0,0,0,0,0,0,0,"22,210,000",0,"22,210,000"
Canada Revenue Agency,"4,923,301,081","135,300,000","24,300,000","557,918,558","284,200,000","56,800,000","24,100,000",0,"32,300,000","12,023,450,000",0,"200,000","482,414,076","17,579,455,563"
Canada School of Public Service,"75,272,969","381,046","649,661","5,504,782","4,125,414","83,572","51,835","695,937","1,073,555",0,0,0,0,"87,838,771"
Canadian Accessibility Standards Development Organization,"6,292,234","323,531","517,649","4,464,726","841,180","64,706","64,706","129,412","64,706","8,500,000",0,0,0,"21,262,850"
Canadian Air Transport Security Authority,0,0,0,0,0,0,0,0,0,0,0,"1,194,373,969",0,"1,194,373,969"
Canadian Broadcasting Corporation,0,0,0,0,0,0,0,0,0,0,0,"1,383,237,411",0,"1,383,237,411"
Canadian Centre for Occupational Health and Safety,"9,174,466","275,772","67,979","681,952","646,705","15,199","27,842",0,"9,551",0,0,"697,140",0,"11,596,606"
Canadian Commercial Corporation,0,0,0,0,0,0,0,0,0,0,0,"13,792,138",0,"13,792,138"
Canadian Dairy Commission,0,0,0,0,0,0,0,0,0,0,0,"4,994,571",0,"4,994,571"
Canadian Energy Regulator,"84,506,341","2,069,540","185,754","12,467,132","1,160,342","996,521","271,835",0,"694,997","8,977,021",0,"64,171",0,"111,393,654"
Canadian Food Inspection Agency,"668,613,316","4,717,561","11,216,439","69,401,475","16,833,484","11,849,812","26,741,838",0,"30,138,149","14,149,999",0,"2,616,725",0,"856,278,798"
Canadian Grain Commission,"51,335,743","4,406,371","231,914","5,616,300","8,491,762","3,014,886","2,087,229",0,"5,504,942",0,0,0,"68,518,987","12,170,160"
Canadian High Arctic Research Station,"13,782,894","2,100,190","437,684","2,728,652","1,566,430","3,365,889","2,150,381",0,"1,448,017","7,796,000",0,"34,016",0,"35,410,153"
Canadian Human Rights Commission,"35,498,587","268,530","147,239","2,960,647","559,152","33,487","65,499","20,810","701,792",0,0,"9,945","2,508,558","37,757,130"
Canadian Institutes of Health Research,"72,647,188","1,165,201","403,107","5,213,477","4,575,412","366,129","235,403",0,"354,443","1,284,600,360",0,0,0,"1,369,560,720"
Canadian Intergovernmental Conference Secretariat,"4,379,842","1,037,869","34,371","1,505,291","712,705","10,621","35,792",0,"110,051",0,0,0,0,"7,826,542"
Canadian Museum for Human Rights,0,0,0,0,0,0,0,0,0,0,0,"28,589,790",0,"28,589,790"
Canadian Museum of History,0,0,0,0,0,0,0,0,0,0,0,"83,116,568",0,"83,116,568"
Canadian Museum of Immigration at Pier 21,0,0,0,0,0,0,0,0,0,0,0,"10,024,370",0,"10,024,370"
Canadian Museum of Nature,0,0,0,0,0,0,0,0,0,0,0,"32,534,909",0,"32,534,909"
Canadian Northern Economic Development Agency,"17,577,223","944,496","185,045","2,726,372","1,947,553","117,817","99,239",0,"165,200","47,557,663",0,"67,368",0,"71,387,976"
Canadian Nuclear Safety Commission,"125,607,721","5,300,000","1,100,000","17,350,000","3,000,000","3,346,939","500,000",0,"3,000,000","6,830,000",0,"100,000",0,"166,134,660"
Canadian Race Relations Foundation,0,0,0,0,0,0,0,0,0,0,0,"8,992,410",0,"8,992,410"
Canadian Radio-television and Telecommunications Commission,"82,046,570","2,034,963","3,994,725","10,022,133","3,379,451","854,548","150,400",0,"2,331,714",0,0,"20,000","86,819,356","18,015,148"
Canadian Security Intelligence Service,"449,783,898",0,0,0,0,0,0,0,0,0,0,"252,840,087",0,"702,623,985"
Canadian Space Agency,"100,228,506","8,543,000","2,246,000","206,395,963","4,084,000","3,857,000","1,272,000","125,000","5,187,000","79,468,000",0,"2,561,000",0,"413,967,469"
Canadian Tourism Commission,0,0,0,0,0,0,0,0,0,0,0,"115,967,712",0,"115,967,712"
Canadian Transportation Accident Investigation and Safety Board,"34,381,028","1,345,364","169,784","2,721,507","755,588","419,992","208,507",0,"617,577",0,0,0,0,"40,619,347"
Canadian Transportation Agency,"49,814,192","370,159","499,595","2,859,651","1,727,799","106,710","66,666",0,"814,616",0,0,0,0,"56,259,387"
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,"12,500,664","339,007","19,557","1,902,499","513,489","11,118","115,392",0,"179,354",0,0,"698,437",0,"16,279,517"
Communications Security Establishment,"528,275,122",0,0,0,0,0,0,0,0,0,0,"533,257,136","19,849,256","1,041,683,002"
Copyright Board,"3,390,525","100,000","100,000","572,710","100,000","90,000","23,000",0,"75,000",0,0,"5,000",0,"4,456,235"
Correctional Service of Canada,"2,156,085,110","27,935,658","578,809","496,214,858","48,899,590","34,281,979","191,943,816","202,711,747","47,447,672","1,620,000",0,"85,051,977","121,495,150","3,171,276,066"
Courts Administration Service,"82,558,533","3,043,357","517,332","43,229,105","5,282,936","627,672","2,671,820","20,394,556","7,604,259",0,0,"21,351",0,"165,950,921"
Department for Women and Gender Equality,"50,034,233","900,000","4,500,000","10,000,000","700,000","39,000","50,000","152,000","1,113,145","303,970,339",0,"1,700",0,"371,460,417"
Department of Agriculture and Agri-Food,"589,837,532","7,558,448","11,696,189","115,149,741","11,538,714","14,405,313","43,621,083","24,879,382","36,565,414","2,940,096,764",0,"8,987,062","62,311,968","3,742,023,674"
Department of Canadian Heritage,"238,051,606","806,166","2,878,428","23,304,264","3,474,669","2,218,752","1,854,289",0,"2,932,325","1,625,424,590",0,"355,386","8,032,435","1,893,268,040"
Department of Citizenship and Immigration,"1,229,575,937","115,307,503","15,826,051","940,986,377","22,067,521","2,375,063","64,168,024",0,"28,241,910","2,454,878,172",0,"2,912,103","681,890,036","4,194,448,625"
Department of Crown-Indigenous Relations and Northern Affairs,"216,145,510","10,043,277","5,027,529","795,598,253","14,629,576","2,502,536","1,808,399","5,245","69,755","8,912,562,743",0,"975,076,754","20,219,024","10,913,250,553"
Department of Employment and Social Development,"3,378,635,673","67,429,593","93,454,589","840,658,438","335,930,562","8,201,108","11,224,498",0,"61,345,858","96,281,160,662",0,"145,562,696","2,491,383,584","98,732,220,093"
Department of Finance,"128,424,459","1,897,882","3,095,895","12,126,273","1,366,805","327,292","81,209,961",0,"1,484,136","92,827,224,982","46,539,000,000","3,454,161,163","150,000","143,050,168,848"
Department of Fisheries and Oceans,"1,572,803,432","89,416,813","6,456,086","1,081,956,735","64,052,672","186,675,387","150,146,970","310,549,704","740,434,180","491,765,345",0,"30,934,080","40,011,000","4,685,180,404"
"Department of Foreign Affairs, Trade and Development","1,598,709,795","94,163,580","34,151,436","478,538,825","285,971,967","43,661,509","55,274,668","60,989,441","87,070,358","6,134,411,125",0,"1,731,119","66,580,000","8,808,093,823"
